, 内存使用量(MB) -Max, 内存利用率(%) -Max,
2026-05-01T16:00:00+08:00,1272.666,41.434,
2026-05-01T17:00:00+08:00,1289.5,41.888,
2026-05-01T18:00:00+08:00,1277,41.557,
2026-05-01T19:00:00+08:00,1301.166,42.206,
2026-05-01T20:00:00+08:00,1293.666,42.021,
2026-05-01T21:00:00+08:00,1288.666,41.88,
2026-05-01T22:00:00+08:00,1289.5,41.907,
2026-05-01T23:00:00+08:00,1287.5,41.848,
2026-05-02T00:00:00+08:00,1295.666,42.075,
2026-05-02T01:00:00+08:00,1333.333,43.108,
2026-05-02T02:00:00+08:00,1284.333,41.795,
2026-05-02T03:00:00+08:00,1287.5,41.879,
2026-05-02T04:00:00+08:00,1290.833,41.974,
2026-05-02T05:00:00+08:00,1298,42.169,
2026-05-02T06:00:00+08:00,1290.666,41.982,
2026-05-02T07:00:00+08:00,1299.5,42.222,
2026-05-02T08:00:00+08:00,1293.5,42.071,
2026-05-02T09:00:00+08:00,1284.5,41.829,
2026-05-02T10:00:00+08:00,1308.166,42.474,
2026-05-02T11:00:00+08:00,1289.5,41.971,
2026-05-02T12:00:00+08:00,1294.333,42.099,
2026-05-02T13:00:00+08:00,1299.833,42.254,
2026-05-02T14:00:00+08:00,1292.5,42.058,
2026-05-02T15:00:00+08:00,1306.833,42.441,
2026-05-02T16:00:00+08:00,1286.5,41.898,
2026-05-02T17:00:00+08:00,1284.5,41.848,
2026-05-02T18:00:00+08:00,1292.166,42.055,
2026-05-02T19:00:00+08:00,1290.833,42.019,
2026-05-02T20:00:00+08:00,1301,42.292,
2026-05-02T21:00:00+08:00,1292.833,42.077,
2026-05-02T22:00:00+08:00,1304.166,42.383,
2026-05-02T23:00:00+08:00,1304.5,42.402,
2026-05-03T00:00:00+08:00,1293.166,42.091,
2026-05-03T01:00:00+08:00,1298.5,42.238,
2026-05-03T02:00:00+08:00,1302.333,42.341,
2026-05-03T03:00:00+08:00,1320.333,42.863,
2026-05-03T04:00:00+08:00,1310.333,42.594,
2026-05-03T05:00:00+08:00,1297.5,42.249,
